date,close,volume
2019-06-29,11865.29,29923961128
2019-06-28,12360.45,35087757766
2019-06-27,11159.29,39977475223
2019-06-26,12927.44,45105733173
2019-06-25,11755.53,24879684533
2019-06-24,11032.32,19271652365
2019-06-23,10833.02,20998326502
2019-06-22,10666.86,29995204861
2019-06-21,10236.2,20624008643
2019-06-20,9531.21,17846823784
2019-06-19,9277.54,15546809946
2019-06-18,9078.48,15848210536
2019-06-17,9333.14,15562951919
2019-06-16,8975.0,23348550311
2019-06-15,8860.23,18371033226
2019-06-14,8697.46,19831162906
2019-06-13,8239.04,18669407147
2019-06-12,8176.02,19034432883
2019-06-11,7918.17,17107279932
2019-06-10,8015.69,18689275117
2019-06-09,7634.58,16610726547
2019-06-08,7930.14,16522722810
2019-06-07,7998.13,19141423231
2019-06-06,7805.0,19474611077
2019-06-05,7789.48,21760923463
2019-06-04,7670.96,24609731549
2019-06-03,8107.96,22004511436
2019-06-02,8736.55,20266216022
2019-06-01,8558.95,22488303544
2019-05-31,8554.06,25365190957
2019-05-30,8279.69,29246528551
2019-05-29,8662.44,23473479966
2019-05-28,8715.36,24226919267
2019-05-27,8772.29,27949839564
2019-05-26,8731.72,26677970091
2019-05-25,8063.81,22256813107
2019-05-24,8001.7,25919126991
2019-05-23,7881.98,24457107820
2019-05-22,7626.48,24719473175
2019-05-21,7951.7,25127245056
2019-05-20,7999.54,23843404340
2019-05-19,8200.0,25902422040
2019-05-18,7262.4,21354286562
2019-05-17,7363.69,30066644905
2019-05-16,7878.96,33167197581
2019-05-15,8203.32,28344112920
2019-05-14,7990.92,32031452227
2019-05-13,7824.93,28677672181
2019-05-12,6979.76,27773333680
2019-05-11,7219.95,28867562329
2019-05-10,6343.14,19419875368
2019-05-09,6153.09,16784645411
2019-05-08,5948.41,15320605300
2019-05-07,5748.45,18026409033
2019-05-06,5687.9,15737171804
2019-05-05,5715.86,14808830723
2019-05-04,5770.01,17567780766
2019-05-03,5657.4,18720780006
2019-05-02,5390.01,14644460907
2019-05-01,5321.15,13679528236
2019-04-30,5270.69,13878964574
2019-04-29,5148.25,13735490672
2019-04-28,5155.0,12819992056
2019-04-27,5170.6,13111274675
2019-04-26,5159.51,16812108040
2019-04-25,5134.81,15330283408
2019-04-24,5441.9,17048033399
2019-04-23,5532.75,15867308108
2019-04-22,5387.6,14601631648
